ts,lat,lon,value
Sat Mar 30 2019 23:59:59 GMT+0000 (Coordinated Universal Time),"53.34996302700","6.46294216500",0.136
Sat Mar 30 2019 23:59:54 GMT+0000 (Coordinated Universal Time),"53.34997546500","6.46295315300",0.199
Sat Mar 30 2019 23:59:48 GMT+0000 (Coordinated Universal Time),"53.34998251200","6.46297690300",0.067
Sat Mar 30 2019 23:59:42 GMT+0000 (Coordinated Universal Time),"53.34997383700","6.46299115600",0.108
Sat Mar 30 2019 23:59:40 GMT+0000 (Coordinated Universal Time),"53.34996137200","6.46299601000",0.021
Sat Mar 30 2019 23:59:38 GMT+0000 (Coordinated Universal Time),"53.34994470300","6.46299415200",0.024
Sat Mar 30 2019 23:59:37 GMT+0000 (Coordinated Universal Time),"53.34992981500","6.46299263000",0.118
Sat Mar 30 2019 23:59:35 GMT+0000 (Coordinated Universal Time),"53.34991009500","6.46297602500",0.061
Sat Mar 30 2019 23:59:34 GMT+0000 (Coordinated Universal Time),"53.34989906900","6.46295688100",0.059
Sat Mar 30 2019 23:59:33 GMT+0000 (Coordinated Universal Time),"53.34987077100","6.46284001300",0.055
Sat Mar 30 2019 23:59:27 GMT+0000 (Coordinated Universal Time),"53.35007368500","6.46302468200",0.03
Sat Mar 30 2019 23:59:18 GMT+0000 (Coordinated Universal Time),"53.35008609000","6.46302559700",0.019
Sat Mar 30 2019 23:59:14 GMT+0000 (Coordinated Universal Time),"53.35009880400","6.46303016800",0.021
Sat Mar 30 2019 23:59:12 GMT+0000 (Coordinated Universal Time),"53.35011155600","6.46303511700",0.048
Sat Mar 30 2019 23:59:08 GMT+0000 (Coordinated Universal Time),"53.35009056900","6.46302376800",0.034
Sat Mar 30 2019 23:59:07 GMT+0000 (Coordinated Universal Time),"53.35006556900","6.46300983100",0.068
Sat Mar 30 2019 23:59:04 GMT+0000 (Coordinated Universal Time),"53.35007828000","6.46301702600",0.334
Sat Mar 30 2019 23:59:02 GMT+0000 (Coordinated Universal Time),"53.35009848100","6.46302038200",0.072
Sat Mar 30 2019 23:59:00 GMT+0000 (Coordinated Universal Time),"53.35012527200","6.46302834600",0.141
Sat Mar 30 2019 23:58:59 GMT+0000 (Coordinated Universal Time),"53.35014815000","6.46303055900",0.209
Sat Mar 30 2019 23:58:58 GMT+0000 (Coordinated Universal Time),"53.35016993000","6.46300808400",0.037
Sat Mar 30 2019 23:58:57 GMT+0000 (Coordinated Universal Time),"53.35011235100","6.46301620200",0.231
Sat Mar 30 2019 23:58:51 GMT+0000 (Coordinated Universal Time),"53.34995118200","6.46298231900",0.022
Sat Mar 30 2019 23:58:47 GMT+0000 (Coordinated Universal Time),"53.34996357200","6.46299600100",0.03
Sat Mar 30 2019 23:58:43 GMT+0000 (Coordinated Universal Time),"53.34997434400","6.46300984300",0.005
Sat Mar 30 2019 23:58:37 GMT+0000 (Coordinated Universal Time),"53.34996330400","6.46301986100",0.02
Sat Mar 30 2019 23:58:30 GMT+0000 (Coordinated Universal Time),"53.34995329400","6.46303300300",0.009
Sat Mar 30 2019 23:58:25 GMT+0000 (Coordinated Universal Time),"53.34993000800","6.46304966600",0.036
Sat Mar 30 2019 23:58:23 GMT+0000 (Coordinated Universal Time),"53.34990258600","6.46306551700",0.048
Sat Mar 30 2019 23:58:22 GMT+0000 (Coordinated Universal Time),"53.34986931100","6.46308187700",0.015
Sat Mar 30 2019 23:58:21 GMT+0000 (Coordinated Universal Time),"53.34992285500","6.46301781900",0.031
Sat Mar 30 2019 23:58:16 GMT+0000 (Coordinated Universal Time),"53.34992154500","6.46305357700",0.02
Sat Mar 30 2019 23:58:14 GMT+0000 (Coordinated Universal Time),"53.34990837500","6.46304578200",0.035
Sat Mar 30 2019 23:58:12 GMT+0000 (Coordinated Universal Time),"53.34989332900","6.46303679100",0.048
Sat Mar 30 2019 23:58:10 GMT+0000 (Coordinated Universal Time),"53.34987598200","6.46302418100",0.022
Sat Mar 30 2019 23:58:08 GMT+0000 (Coordinated Universal Time),"53.34986340700","6.46301408300",0.032
Sat Mar 30 2019 23:58:05 GMT+0000 (Coordinated Universal Time),"53.34984900100","6.46300297100",0.106
Sat Mar 30 2019 23:58:01 GMT+0000 (Coordinated Universal Time),"53.34983708000","6.46299043700",0.041
Sat Mar 30 2019 23:57:59 GMT+0000 (Coordinated Universal Time),"53.34982791100","6.46297583400",0.01
Sat Mar 30 2019 23:57:56 GMT+0000 (Coordinated Universal Time),"53.34981804000","6.46295234900",0.038
Sat Mar 30 2019 23:57:54 GMT+0000 (Coordinated Universal Time),"53.34980682500","6.46293784500",0.274
Sat Mar 30 2019 23:57:52 GMT+0000 (Coordinated Universal Time),"53.34978969300","6.46292372300",0.054
Sat Mar 30 2019 23:57:50 GMT+0000 (Coordinated Universal Time),"53.34977562400","6.46291667400",0.055
Sat Mar 30 2019 23:57:48 GMT+0000 (Coordinated Universal Time),"53.34975542500","6.46290396000",0.034
Sat Mar 30 2019 23:57:47 GMT+0000 (Coordinated Universal Time),"53.34973986200","6.46289218600",0.042
Sat Mar 30 2019 23:57:46 GMT+0000 (Coordinated Universal Time),"53.34972288400","6.46284153900",0.072
Sat Mar 30 2019 23:57:43 GMT+0000 (Coordinated Universal Time),"53.34971616700","6.46280750000",0.015
Sat Mar 30 2019 23:57:40 GMT+0000 (Coordinated Universal Time),"53.34991477500","6.46289536200",0.011
Sat Mar 30 2019 23:57:33 GMT+0000 (Coordinated Universal Time),"53.34990131900","6.46289232900",0.013
Sat Mar 30 2019 23:57:27 GMT+0000 (Coordinated Universal Time),"53.34988742400","6.46289082600",0.026
Sat Mar 30 2019 23:57:22 GMT+0000 (Coordinated Universal Time),"53.34987437700","6.46288899400",0.026
Sat Mar 30 2019 23:57:18 GMT+0000 (Coordinated Universal Time),"53.34986224700","6.46288826000",0.032
Sat Mar 30 2019 23:57:13 GMT+0000 (Coordinated Universal Time),"53.34984916800","6.46288713800",0.027
Sat Mar 30 2019 23:57:10 GMT+0000 (Coordinated Universal Time),"53.34983730900","6.46288693300",0.015
Sat Mar 30 2019 23:57:07 GMT+0000 (Coordinated Universal Time),"53.34982069600","6.46288396900",0.011
Sat Mar 30 2019 23:57:05 GMT+0000 (Coordinated Universal Time),"53.34980896400","6.46288080800",0.022
Sat Mar 30 2019 23:57:02 GMT+0000 (Coordinated Universal Time),"53.34979400900","6.46287548800",0.041
Sat Mar 30 2019 23:56:59 GMT+0000 (Coordinated Universal Time),"53.34978115300","6.46286801600",0.027
Sat Mar 30 2019 23:56:55 GMT+0000 (Coordinated Universal Time),"53.34976929500","6.46285861000",0.037
Sat Mar 30 2019 23:56:50 GMT+0000 (Coordinated Universal Time),"53.34977154100","6.46283521400",0.04
Sat Mar 30 2019 23:56:42 GMT+0000 (Coordinated Universal Time),"53.34977286900","6.46286103700",0.57
Sat Mar 30 2019 23:56:40 GMT+0000 (Coordinated Universal Time),"53.34976552500","6.46288009200",0.353
Sat Mar 30 2019 23:56:38 GMT+0000 (Coordinated Universal Time),"53.34975250800","6.46289898100",0.332
Sat Mar 30 2019 23:56:37 GMT+0000 (Coordinated Universal Time),"53.34974148300","6.46291565400",0.051
Sat Mar 30 2019 23:56:35 GMT+0000 (Coordinated Universal Time),"53.34973545500","6.46294518300",0.027
Sat Mar 30 2019 23:56:34 GMT+0000 (Coordinated Universal Time),"53.34974392500","6.46291507700",0.089
Sat Mar 30 2019 23:56:28 GMT+0000 (Coordinated Universal Time),"53.34974575700","6.46305427500",0.026
Sat Mar 30 2019 23:56:23 GMT+0000 (Coordinated Universal Time),"53.34975220600","6.46303754500",0.08
Sat Mar 30 2019 23:56:20 GMT+0000 (Coordinated Universal Time),"53.34976074800","6.46302086200",0.029
Sat Mar 30 2019 23:56:16 GMT+0000 (Coordinated Universal Time),"53.34976446100","6.46299451000",0.147
Sat Mar 30 2019 23:56:13 GMT+0000 (Coordinated Universal Time),"53.34976591900","6.46296920200",0.187
Sat Mar 30 2019 23:56:10 GMT+0000 (Coordinated Universal Time),"53.34976695300","6.46294495200",0.071
Sat Mar 30 2019 23:56:07 GMT+0000 (Coordinated Universal Time),"53.34976743500","6.46292110300",0.041
Sat Mar 30 2019 23:56:04 GMT+0000 (Coordinated Universal Time),"53.34976345300","6.46289835700",0.076
Sat Mar 30 2019 23:56:01 GMT+0000 (Coordinated Universal Time),"53.34975886300","6.46288033200",0.119
Sat Mar 30 2019 23:55:58 GMT+0000 (Coordinated Universal Time),"53.34975087800","6.46286279200",0.019
Sat Mar 30 2019 23:55:54 GMT+0000 (Coordinated Universal Time),"53.34974213600","6.46284728900",0.075
Sat Mar 30 2019 23:55:44 GMT+0000 (Coordinated Universal Time),"53.34973758500","6.46286676700",0.035
Sat Mar 30 2019 23:55:40 GMT+0000 (Coordinated Universal Time),"53.34973410800","6.46288620100",0.067
Sat Mar 30 2019 23:55:36 GMT+0000 (Coordinated Universal Time),"53.34972303700","6.46290374200",0.061
Sat Mar 30 2019 23:55:33 GMT+0000 (Coordinated Universal Time),"53.34971008400","6.46291241100",0.19
Sat Mar 30 2019 23:55:28 GMT+0000 (Coordinated Universal Time),"53.34969925700","6.46292363000",0.066
Sat Mar 30 2019 23:55:26 GMT+0000 (Coordinated Universal Time),"53.34968917800","6.46293541700",0.093
Sat Mar 30 2019 23:55:24 GMT+0000 (Coordinated Universal Time),"53.34967275200","6.46296900600",0.056
Sat Mar 30 2019 23:55:23 GMT+0000 (Coordinated Universal Time),"53.34964131600","6.46297730300",0.072
Sat Mar 30 2019 23:55:22 GMT+0000 (Coordinated Universal Time),"53.34960181100","6.46309974600",0.098
Sat Mar 30 2019 23:55:17 GMT+0000 (Coordinated Universal Time),"53.34996245700","6.46282577100",0.05
Sat Mar 30 2019 23:55:15 GMT+0000 (Coordinated Universal Time),"53.34998127400","6.46282033800",0.064
Sat Mar 30 2019 23:55:13 GMT+0000 (Coordinated Universal Time),"53.35000173900","6.46281069800",0.024
Sat Mar 30 2019 23:55:11 GMT+0000 (Coordinated Universal Time),"53.35002014200","6.46280161700",0.099
Sat Mar 30 2019 23:55:09 GMT+0000 (Coordinated Universal Time),"53.35003904100","6.46279182100",0.06
Sat Mar 30 2019 23:55:07 GMT+0000 (Coordinated Universal Time),"53.35005602600","6.46278021400",0.038
Sat Mar 30 2019 23:55:05 GMT+0000 (Coordinated Universal Time),"53.35007529100","6.46276874000",0.097
Sat Mar 30 2019 23:55:04 GMT+0000 (Coordinated Universal Time),"53.35008649000","6.46276161500",0.112
Sat Mar 30 2019 23:55:02 GMT+0000 (Coordinated Universal Time),"53.35010768300","6.46274797700",0.036
Sat Mar 30 2019 23:55:00 GMT+0000 (Coordinated Universal Time),"53.35012395000","6.46273438500",0.108
Sat Mar 30 2019 23:54:58 GMT+0000 (Coordinated Universal Time),"53.35013939300","6.46271721300",0.121
Sat Mar 30 2019 23:54:57 GMT+0000 (Coordinated Universal Time),"53.35014975800","6.46270644200",0.104
Sat Mar 30 2019 23:54:55 GMT+0000 (Coordinated Universal Time),"53.35016512700","6.46269044900",0.06
Sat Mar 30 2019 23:54:53 GMT+0000 (Coordinated Universal Time),"53.35018144000","6.46267534900",0.083
Sat Mar 30 2019 23:54:51 GMT+0000 (Coordinated Universal Time),"53.35019751400","6.46266052200",0.182
Sat Mar 30 2019 23:54:49 GMT+0000 (Coordinated Universal Time),"53.35021113000","6.46265066700",0.139
Sat Mar 30 2019 23:54:47 GMT+0000 (Coordinated Universal Time),"53.35022345600","6.46264209800",0.143
Sat Mar 30 2019 23:54:44 GMT+0000 (Coordinated Universal Time),"53.35023983000","6.46263279500",0.058
Sat Mar 30 2019 23:54:40 GMT+0000 (Coordinated Universal Time),"53.35025097900","6.46264108400",0.066
Sat Mar 30 2019 23:54:35 GMT+0000 (Coordinated Universal Time),"53.35026058700","6.46265670700",0.151
Sat Mar 30 2019 23:54:33 GMT+0000 (Coordinated Universal Time),"53.35027616600","6.46266023400",0.119
Sat Mar 30 2019 23:54:30 GMT+0000 (Coordinated Universal Time),"53.35028423200","6.46268616400",0.103
Sat Mar 30 2019 23:54:25 GMT+0000 (Coordinated Universal Time),"53.35027017700","6.46269613400",0.046
Sat Mar 30 2019 23:54:20 GMT+0000 (Coordinated Universal Time),"53.35026329400","6.46267074400",0.638
Sat Mar 30 2019 23:54:17 GMT+0000 (Coordinated Universal Time),"53.35025270300","6.46265257500",0.243
Sat Mar 30 2019 23:54:15 GMT+0000 (Coordinated Universal Time),"53.35024067400","6.46262955300",0.546
Sat Mar 30 2019 23:54:14 GMT+0000 (Coordinated Universal Time),"53.35023477400","6.46260592800",0.438
Sat Mar 30 2019 23:54:13 GMT+0000 (Coordinated Universal Time),"53.35022476500","6.46258498000",0.424
Sat Mar 30 2019 23:54:12 GMT+0000 (Coordinated Universal Time),"53.35023821000","6.46256088400",0.096
Sat Mar 30 2019 23:54:11 GMT+0000 (Coordinated Universal Time),"53.35034614700","6.46252664800",0.058
Sat Mar 30 2019 23:54:10 GMT+0000 (Coordinated Universal Time),"53.35094182200","6.46235700100",0.398
Sat Mar 30 2019 23:54:06 GMT+0000 (Coordinated Universal Time),"53.34972795700","6.46284692600",0.262
Sat Mar 30 2019 23:54:03 GMT+0000 (Coordinated Universal Time),"53.34974133600","6.46284378200",0.279
Sat Mar 30 2019 23:54:01 GMT+0000 (Coordinated Universal Time),"53.34975878300","6.46284201100",0.26
Sat Mar 30 2019 23:53:58 GMT+0000 (Coordinated Universal Time),"53.34975083600","6.46282306100",0.041
Sat Mar 30 2019 23:53:56 GMT+0000 (Coordinated Universal Time),"53.34974162800","6.46280887400",0.139
Sat Mar 30 2019 23:53:54 GMT+0000 (Coordinated Universal Time),"53.34972952000","6.46278778300",0.03
Sat Mar 30 2019 23:53:52 GMT+0000 (Coordinated Universal Time),"53.34971764100","6.46277541500",0.126
Sat Mar 30 2019 23:53:50 GMT+0000 (Coordinated Universal Time),"53.34970192100","6.46275750500",0.254
Sat Mar 30 2019 23:53:48 GMT+0000 (Coordinated Universal Time),"53.34969059100","6.46273796900",0.182
Sat Mar 30 2019 23:53:46 GMT+0000 (Coordinated Universal Time),"53.34966985200","6.46274642700",0.021
Sat Mar 30 2019 23:53:45 GMT+0000 (Coordinated Universal Time),"53.34965972000","6.46277146300",0.036
Sat Mar 30 2019 23:53:44 GMT+0000 (Coordinated Universal Time),"53.34966914300","6.46280346800",0.196
Sat Mar 30 2019 23:53:43 GMT+0000 (Coordinated Universal Time),"53.34968464400","6.46282542400",0.16
Sat Mar 30 2019 23:53:42 GMT+0000 (Coordinated Universal Time),"53.34970798500","6.46290801800",0.045
Sat Mar 30 2019 23:53:41 GMT+0000 (Coordinated Universal Time),"53.34974205700","6.46307518500",0.078
Sat Mar 30 2019 23:53:40 GMT+0000 (Coordinated Universal Time),"53.34979877900","6.46340022800",0.085
Sat Mar 30 2019 23:53:39 GMT+0000 (Coordinated Universal Time),"53.35012945200","6.46485302600",0.118
Sat Mar 30 2019 23:53:38 GMT+0000 (Coordinated Universal Time),"53.34951556600","6.46795576200",3.03
Sat Mar 30 2019 23:53:30 GMT+0000 (Coordinated Universal Time),"53.34964637300","6.46327706900",0.029
Sat Mar 30 2019 23:53:23 GMT+0000 (Coordinated Universal Time),"53.34965781900","6.46326563300",0.135
Sat Mar 30 2019 23:53:20 GMT+0000 (Coordinated Universal Time),"53.34967104600","6.46325469000",0.063
Sat Mar 30 2019 23:53:18 GMT+0000 (Coordinated Universal Time),"53.34967927800","6.46324106800",0.02
Sat Mar 30 2019 23:53:16 GMT+0000 (Coordinated Universal Time),"53.34968623400","6.46321665200",0.026
Sat Mar 30 2019 23:53:14 GMT+0000 (Coordinated Universal Time),"53.34969606900","6.46318898800",0.064
Sat Mar 30 2019 23:53:07 GMT+0000 (Coordinated Universal Time),"53.34968296300","6.46319682200",0.084
Sat Mar 30 2019 23:53:06 GMT+0000 (Coordinated Universal Time),"53.34967241500","6.46321571700",0.058
